127.0.0.1 - - [19/Aug/2025:09:16:40 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:16:43 +0900] "GET /farking/index.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:16:43 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:16:56 +0900] "GET /farking/index.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:23:56 +0900] "GET /farking/index.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:24:05 +0900] "GET /farking/index.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:44:26 +0900] "GET /farking/index.jsp HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:44:27 +0900] "GET /farking/index.jsp HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:44:28 +0900] "GET /farking/insert.jsp HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:44:56 +0900] "GET /farking/insert.jsp HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:45:07 +0900] "GET /farking/insert.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:45:29 +0900] "GET /farking/insert.jsp HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:00 +0900] "GET /dabmantion/index.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:00 +0900] "GET /dabmantion/script.js HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:03 +0900] "GET /dabmantion/insert.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:06 +0900] "GET /dabmantion/list HTTP/1.1" 200 2110
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:08 +0900] "GET /dabmantion/insert.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:24 +0900] "POST /dabmantion/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:22:24 +0900] "GET /dabmantion/list HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [19/Aug/2025:10:37:35 +0900] "GET /farking/insert.jsp HTTP/1.1" 200 2657
